Tweet,nmf_w2v_topic_id,date,Time,Location,User_ID
"After learning why Hannah Presley chose West Point, join the fight and help us #sowtheseeds in support of her pursuâ¦ ",10,43432,Wed Nov 28 01:31:22 +0000 2018,"West Point, NY",38042423
@dm7pince @NuitSeraCalme I am right there with ,8,43432,Wed Nov 28 01:42:33 +0000 2018,"Wellesley, MA",907410554238717000
Some of these elves need to be on a strike system for making these toys wrong.. it's not the toys fault if it didn't come out right. #Rudolph #RudolphTheRedNosedReindeer,8,43432,Wed Nov 28 01:44:26 +0000 2018,"Ohio, USA",355257204
@KatieHill4CA @LeaderPelosi @katieporteroc @MikeLevinCA @Deb4CongressNM @SusieLeeNV Yes you do have time to pick a Speaker that will not block any Medicare bill from being able to pass the House! You BETTER have that fight! We only have 54% of the House. A 60% Rule would require 22 Republicans to join ALL Democrats to pass Medicare bills. That's UNACCEPTABLE!,2,43432,Wed Nov 28 02:04:28 +0000 2018,"Larose, LA",720196633
The sun might have set on #GivingTuesday but you can still help the fight against cancer through @5forthefight_ ð ,10,43432,Wed Nov 28 02:18:46 +0000 2018,"Provo, UT",111729901
=@NebraskaBobert Itâs a free country.  you can fully support the guy if it doesnât bother you that he is using the anthem as a prop for his protest.,6,43432,Wed Nov 28 02:21:54 +0000 2018,"South Carolina, USA",248481789
"You can support @NHLFlyers @FlyersCharities by bidding in tonightâs #HockeyFightsCancer  online auction.Â You have he chance to bid on âWives Favorite Thingsâ basket and Hockey Fights Cancer sticks &amp; hats! 

Start bidding now! ",10,43432,Wed Nov 28 02:32:24 +0000 2018,Wells Fargo Center,835472718598320000
How many protest have their been for LBGT hate crimes? Or do Black Lives Matter only come out when a police shoots a straight black person ,8,43432,Wed Nov 28 02:50:48 +0000 2018,"Alabama, USA",327145627
"On this #GivingTuesday, we take time to share our #AttitudeofGratitude with David and Nancy Schwartz for their generous donations in support of the Marching Illini. Thank you for showing your LOYALTY! ",0,43432,Wed Nov 28 02:51:26 +0000 2018,"Champaign, IL",380115006
"#MarchForOurLives will be presenting to the Board at tonight's MPS Governing Board Meeting. For the record, I support their efforts to expand social emotional support resources in our schools. ",10,43432,Wed Nov 28 03:18:55 +0000 2018,Mesa Public Schools Boardroom,2705197261
"Dumbo in March, Aladdin in May and Lion King in July!!!! NEXT YEAR IM GOING TO CRY SO MANY TIMES IN THE THEATER",2,43432,Wed Nov 28 03:22:51 +0000 2018,"Mesa, AZ",320073624
"@Panamena_ You need to take into account on how black mothers specifically was in the same struggle as the black men, who chose to stab them in the back and rive them away? Y'all are extremely good liars i tell you that, who joined feminism while we were fighting the system?",4,43432,Wed Nov 28 03:32:36 +0000 2018,"San Antonio, TX",3173022126
